"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","Create New User, Check Error: Invalid Email","api-tests","2026-02-18","passed","2026-02-18","","api-tests/negative-tests.spec.ts","",""
"","49","Create New User, Check Error: Password is too Short","api-tests","2026-02-18","passed","2026-02-18","","api-tests/negative-tests.spec.ts","",""
"","578","Create Article with Comments","api-tests","2026-02-18","passed","2026-02-18","","api-tests/smoke-test.spec.ts","",""
"","358","Create & Delete Article","api-tests","2026-02-18","passed","2026-02-18","","api-tests/smoke-test.spec.ts","",""
"","432","Create, Update & Delete Article","api-tests","2026-02-18","passed","2026-02-18","","api-tests/smoke-test.spec.ts","",""
"","155","Get Tags List","api-tests","2026-02-18","passed","2026-02-18","","api-tests/smoke-test.spec.ts","",""
"","521","Get Articles","api-tests","2026-02-18","passed","2026-02-18","","api-tests/smoke-test.spec.ts","",""
"","49","Create New User, Check Error: Username is too Short","api-tests","2026-02-18","passed","2026-02-18","","api-tests/negative-tests.spec.ts","",""
"","1077","Login with valid credentials","ui-tests","2026-02-18","passed","2026-02-18","","ui-tests/login.spec.ts","",""
