"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Create New User, Check Error: Password is too Short","api-tests","2026-02-17","passed","2026-02-17","","api-tests/negative-tests.spec.ts","",""
"","35","Create New User, Check Error: Username is too Short","api-tests","2026-02-17","passed","2026-02-17","","api-tests/negative-tests.spec.ts","",""
"","1269","Login with valid credentials","ui-tests","2026-02-17","passed","2026-02-17","","ui-tests/login.spec.ts","",""
"","420","Create Article with Comments","api-tests","2026-02-17","passed","2026-02-17","","api-tests/smoke-test.spec.ts","",""
"","290","Create & Delete Article","api-tests","2026-02-17","passed","2026-02-17","","api-tests/smoke-test.spec.ts","",""
"","602","Get Articles","api-tests","2026-02-17","passed","2026-02-17","","api-tests/smoke-test.spec.ts","",""
"","53","Create New User, Check Error: Invalid Email","api-tests","2026-02-17","passed","2026-02-17","","api-tests/negative-tests.spec.ts","",""
"","336","Create, Update & Delete Article","api-tests","2026-02-17","passed","2026-02-17","","api-tests/smoke-test.spec.ts","",""
"","160","Get Tags List","api-tests","2026-02-17","passed","2026-02-17","","api-tests/smoke-test.spec.ts","",""
