"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1057","Login with valid credentials","ui-tests","2026-02-22","passed","2026-02-22","","ui-tests/login.spec.ts","",""
"","547","Create Article with Comments","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","182","Get Articles","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","70","Create New User, Check Error: Invalid Email","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","50","Create New User, Check Error: Username is too Short","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","204","Get Tags List","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","404","Create, Update & Delete Article","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","340","Create & Delete Article","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","49","Create New User, Check Error: Password is too Short","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
