"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Create New User, Check Error: Password is too Short","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","527","Create Article with Comments","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","146","Get Tags List","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","1098","Login with valid credentials","ui-tests","2026-02-22","passed","2026-02-22","","ui-tests/login.spec.ts","",""
"","67","Create New User, Check Error: Invalid Email","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","446","Get Articles","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","51","Create New User, Check Error: Username is too Short","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","397","Create, Update & Delete Article","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","317","Create & Delete Article","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
