"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","Create, Update & Delete Article","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","367","Get Articles","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","95","Create New User, Check Error: Invalid Email","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","518","Create & Delete Article","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","77","Create New User, Check Error: Password is too Short","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","1800","Login with valid credentials","ui-tests","2026-02-22","passed","2026-02-22","","ui-tests/login.spec.ts","",""
"","399","Get Tags List","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
"","81","Create New User, Check Error: Username is too Short","api-tests","2026-02-22","passed","2026-02-22","","api-tests/negative-tests.spec.ts","",""
"","735","Create Article with Comments","api-tests","2026-02-22","passed","2026-02-22","","api-tests/smoke-test.spec.ts","",""
