"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1852","Login with valid credentials","ui-tests","2026-02-23","passed","2026-02-23","","ui-tests/login.spec.ts","",""
"","558","Create & Delete Article","api-tests","2026-02-23","passed","2026-02-23","","api-tests/smoke-test.spec.ts","",""
"","79","Create New User, Check Error: Password is too Short","api-tests","2026-02-23","passed","2026-02-23","","api-tests/negative-tests.spec.ts","",""
"","100","Create New User, Check Error: Invalid Email","api-tests","2026-02-23","passed","2026-02-23","","api-tests/negative-tests.spec.ts","",""
"","576","Get Articles","api-tests","2026-02-23","passed","2026-02-23","","api-tests/smoke-test.spec.ts","",""
"","884","Create Article with Comments","api-tests","2026-02-23","passed","2026-02-23","","api-tests/smoke-test.spec.ts","",""
"","394","Get Tags List","api-tests","2026-02-23","passed","2026-02-23","","api-tests/smoke-test.spec.ts","",""
"","84","Create New User, Check Error: Username is too Short","api-tests","2026-02-23","passed","2026-02-23","","api-tests/negative-tests.spec.ts","",""
"","605","Create, Update & Delete Article","api-tests","2026-02-23","passed","2026-02-23","","api-tests/smoke-test.spec.ts","",""
